"","Pvalues","FDR","AIH","healthy","nonAIHhepControl","LDAscore"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",6.2319e-06,0.0015647,318.545964022632,2971.75802865372,0,3.17
"unclassified_39",1.1425e-05,0.0015647,370.586918538759,1449.77448652525,5.30662755328385,2.86
"Clostridiales_54",1.5699e-05,0.0015647,210.258228303417,715.314103802906,0,2.55
"Lachnospiraceae_7",4.8837e-05,0.0033127,515.173475176175,1697.46568217117,4.1399981784008,2.93
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",6.3889e-05,0.0033127,829.305154738642,2374.43949819852,710.042623516991,2.92
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",7.4133e-05,0.0033127,22846.6853925648,96955.884540727,1467.71368385217,4.68
"Dorea_longicatena",7.7554e-05,0.0033127,11812.3542726348,35681.9782831292,1420.00277477829,4.23
"Bacteroidales_5",0.00010923,0.0040825,845.93225552984,4351.88737034392,5.30662755328385,3.34
"Lachnoclostridium_1",0.00014341,0.0047645,1524.29879885278,6721.9953854186,2305.45077136229,3.41
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.00016215,0.0048484,1025.77048269419,17320.7984464245,3550.75623438449,3.91
"Barnesiella_10",0.0001896,0.0049563,367.850441937615,1934.44537437034,18.2900788210947,2.98
"unclassified_38",0.00019892,0.0049563,316.295161324516,663.586108372814,8.34411462477142,2.52
"unclassified_4",0.00027039,0.0058023,1410.07935291182,3813.48262829263,414.550766292778,3.23
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00027168,0.0058023,8010.9528209947,28004.6187608793,4040.28099612703,4.08
"Alistipes_putredinis",0.0003561,0.0070983,767072.742847331,380130.838840682,95048.6163038093,5.53
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.00040698,0.0076054,64992.1343791935,67904.2856191159,11059.5478783578,4.45
"Bacteria_5",0.00045523,0.0080068,221.912955686772,1153.5518167637,27.543043220833,2.75
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.00051012,0.0084737,4803.02032683088,8830.08026631143,500.617080765597,3.62
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.00064653,0.0098137,5297.32171784112,17647.1518016117,1557.00472057916,3.91
"Parabacteroides_goldsteinii",0.00065644,0.0098137,2655.27328801062,11726.0689979338,724.766492260754,3.74
"Dialister_pneumosintes",0.00072754,0.010359,2345.31184977273,0,38428.3836574438,4.28
"Turicibacter_sanguinis",0.0010187,0.013326,155023.145798377,127894.204573989,24902.7587951919,4.81
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.0010251,0.013326,927.529829660322,2897.43814499031,1267.93089024384,2.99
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.0011059,0.013392,4346.10419057453,9441.3232025973,2454.43791631147,3.54
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.0011197,0.013392,22924.9161976667,13618.0489975989,93.6972284759396,4.06
"Faecalibacterium",0.0013661,0.01571,1279.28524393972,11795.2315602724,3021.71172313526,3.72
"Clostridiales_20",0.0015204,0.016837,307.345066433379,1256.16275787864,24.714017732969,2.79
"unclassified_3",0.0017929,0.019145,3212.98774138977,19799.8388873672,1484.36071194605,3.96
"Streptococcus_1",0.0019549,0.020156,7573.02103397014,555.30016777356,14301.2379515778,3.84
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.0021449,0.020972,11761.3331525792,6409.6129166309,2885.19971765712,3.65
"Clostridiales_2",0.0021744,0.020972,931.641865067729,1138.91462482753,334.894986607044,2.61
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.0026966,0.02507,382.862153460783,4516.70190071244,200.193780176491,3.33
"Alistipes_obesi",0.0027859,0.02507,61624.7272257879,338600.078976767,139726.400047273,5.14
"Alistipes_indistinctus",0.0028507,0.02507,3599.649677906,13645.7733629526,5540.48701119164,3.7
"Eubacterium_1",0.0032563,0.026642,2627.16073692885,13394.680378467,2521.53475240111,3.74
"Lachnospiraceae",0.0032698,0.026642,7280.32435638263,57300.6218835786,35534.8539109862,4.4
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0034543,0.026642,272447.469065692,114561.663903852,1275010.6913212,5.76
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.0034634,0.026642,185710.446264609,283084.973388883,399943.982902651,5.03
"Clostridiales_1",0.003475,0.026642,4090.6940954992,11073.482844066,3563.16090363448,3.57
"Clostridium_1",0.0035817,0.026774,7204.71181631326,21701.9885646422,5274.10977852841,3.91
"unclassified_2",0.0040299,0.028405,13342.3249006645,13965.576777907,4224.93212658622,3.69
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3_1",0.0040564,0.028405,15916.2195815744,3390.89682698473,1252.03678963033,3.87
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.004085,0.028405,2388.03940479682,3200.99877801982,569.722780680825,3.12
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.0041876,0.028457,7865.57510253658,14742.6792612065,13514.1077876967,3.54
"Barnesiella_intestinihominis_1",0.0047908,0.031832,281961.367302939,503472.036790276,43097.0450031562,5.36
"Gemmiger",0.0051058,0.033188,21347.9617251438,234030.200872289,79739.1609105788,5.03
"Streptococcus_anginosus",0.0055759,0.035272,709.390421290183,62.7731424986504,4089.96239987644,3.3
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.0056624,0.035272,7559.45427686132,8801.65615719074,3528.15561287791,3.42
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0062069,0.037875,1140.45320706501,2355.13468202772,1525.90389049323,2.78
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0067549,0.039702,2266.01171887196,9074.79910838667,1454.55964696388,3.58
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.0067718,0.039702,174.893160302407,1408.39407667717,153.650713928766,2.8
"Roseburia",0.0070807,0.039983,21375.191176478,20969.2715254482,9601.02176207564,3.77
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.0070874,0.039983,612.102927417589,1122.27658278368,274.831143145577,2.63
"Bacteroides_uniformis",0.0075636,0.04188,383884.557300055,858043.616177762,215197.207232773,5.51
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0080457,0.043739,186.002646404435,911.412915531409,378.990012271081,2.56
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.0083705,0.044297,35638.4063676128,52013.8896934341,15386.7802493924,4.26
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.0084445,0.044297,877.774211431347,3164.98268194467,938.997395064226,3.06
"Lactococcus_lactis",0.0090564,0.046687,2103.97998372211,2069.00112062969,806.214152129696,2.81
