"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083"
"Acidaminococcaceae",9,11,16,870,1248,7,32,329,12601,1,0,37,6,477,9504,1,50,979,14,6751,9,4,16743,14,4,3129,0,12460,44,4,0,3,0,0,2
"Actinomycetaceae",27,71,2,24,12,36,6,0,8,5,15,24,51,22,8,18,46,1,6,31,19,10,1,6,17,12,2,18,55,74,12,11,31,82,11
"Bacteroidaceae",29037,48745,81572,2986,4788,23416,182,3338,14481,5418,7478,11137,8280,14390,14566,20709,9931,30903,13280,9507,23682,24022,15017,4431,14671,12426,1503,27863,13566,9113,28153,90389,18452,8121,13128
"Bifidobacteriaceae",13,24,7710,9,94,51,7,443,143,369,191,26,229,207,917,267,1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665
"Bradyrhizobiaceae",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0
"Carnobacteriaceae",70,264,1,2,6,51,9,4,8,8,1,4,12,160,5,5,22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0
"Caulobacteraceae",24,40,51,27,10,44,1,4,23,10,1,8,4,55,77,7,4,6,22,49,14,35,4,67,11,0,41,183,10,7,9,16,61,3,1
"Christensenellaceae",1,0,6,51,21,0,8,208,187,261,176,23,303,920,90,243,420,130,542,244,286,45,1870,1143,82,125,599,112,623,243,8,0,169,67,68
"Clostridiaceae",24,2885,250,127,8,234,9,598,2259,907,799,33,290,72,1625,247,652,57,243,263,153,303,2742,3298,106,414,3394,294,681,7570,174,5,481,630,701
"Comamonadaceae",6,42,46,16,13,42,0,16,8,11,0,4,2,30,18,6,0,2,10,19,13,37,4,52,7,1,8,258,12,8,11,6,77,1,2
"Coriobacteriaceae",76,17,8,64,10,46,2,83,719,5,22,9,212,40,255,80,348,16,93,306,114,18,59,7,6,401,55,51,536,147,24,4,22,60,112
"Dehalobacteriaceae",0,0,0,0,0,0,0,0,2,50,18,3,25,0,0,93,4,2,8,0,22,1,7,69,4,10,33,0,93,7,0,0,0,0,12
"Desulfovibrionaceae",0,5,0,17,0,8,1,2,1,24,96,8,76,4,10,0,238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0
"Enterobacteriaceae",136,555,30,9,9,69,3,3,160,8,6,35,44,107,0,22,7,1800,26,8,35,0,7,30,1165,0,5,0,12,81,0,537,23,82,103
"Erysipelotrichaceae",135,13466,855,1939,24,233,2,4465,11,1520,1927,2229,326,473,338,29,521,343,1535,2259,8590,614,185,395,132,244,355,344,2669,1251,111,3123,3657,489,210
"Eubacteriaceae",271,5,45,166,31,337,23,75,304,301,2189,77,1340,1514,1425,366,3137,446,314,1710,285,632,1306,449,624,1572,355,1528,962,395,191,2,878,573,730
"Fusobacteriaceae",20,30,23,19,1,4,0,3,29,0,0,0,1,0,1,5,0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0
"Gemellaceae",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0
"Lachnospiraceae",3250,8237,17075,5837,690,12102,485,1287,1825,1495,6269,576,4953,1061,2713,1652,16269,5055,1322,5800,1845,2045,7656,5712,3665,10177,1823,26932,3264,3017,4771,2313,4484,9842,12282
"Lactobacillaceae",41,288,8,7,39,129,4,62,22,128,78,48,158,2479,58,14,402,94,433,315,359,35,78,924,86,51,115,103,189,84,78,16,65,176,14
"Methanobacteriaceae",0,0,0,0,0,0,0,0,0,64,187,0,2,0,0,0,1,157,2,2,0,0,246,175,89,1227,0,0,3,0,0,0,0,0,12
"Micrococcaceae",5,0,29,1,5,7,0,1,0,0,4,2,3,0,2,0,11,0,0,1,0,0,2,0,1,1,1,7,0,0,0,0,5,38,6
"Mogibacteriaceae",1,0,0,8,15,1,4,17,110,2,9,3,35,106,9,0,42,15,60,3,0,3,32,0,2,93,5,2,1,31,0,0,0,0,26
"Moraxellaceae",2,1,7,8,0,0,0,0,2,2,0,3,0,11,17,1,0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0
"Oscillospiraceae",331,51,96,11293,3315,2474,1368,1590,4584,3241,6565,1448,13420,10458,3044,621,9189,5425,3320,2259,1327,4048,1848,5935,3104,8030,1330,1315,4306,3169,684,276,6303,450,2011
"Oxalobacteraceae",62,26,3,0,8,15,1,13,173,33,20,7,16,98,102,4,33,197,42,70,48,1,8,155,36,51,27,34,39,42,8,26,2,4,53
"Pasteurellaceae",1210,1417,11,2834,248,8529,4,89,80,2,574,5,175,1,53,0,27,0,36,7,0,23,0,10,44,4,643,20,77,13,183,39,54,55,17
"Peptostreptococcaceae",26,11258,59,2394,53,801,26,6375,1330,1595,3113,784,3126,1087,8917,172,304,131,4132,10580,4347,1724,414,7436,101,262,21575,1461,1460,9545,2123,13,3374,5948,1754
"Porphyromonadaceae",467,1404,69,3580,9465,1318,342,6419,6397,13397,11909,7452,3373,2975,4033,1965,3040,11296,2962,7451,6867,6817,12923,1032,21370,1776,2248,1961,28496,11262,16699,187,5603,1256,3494
"Prevotellaceae",72,198,489,12231,62674,104,13163,24835,126,833,1548,4069,16542,4874,202,495,42,68,111,3081,345,1,56,678,92,11,13206,52,156,98,72,46,6,14,12
"Pseudomonadaceae",14,2,18,1,1,5,0,0,28,16,3,0,5,12,34,6,2,5,15,19,14,0,4,126,5,0,10,3,2,17,9,16,9,0,1
"Rikenellaceae",4006,76,3334,15074,20203,10249,289,9043,16593,10956,15286,9412,6498,21977,10951,41709,5814,15199,39405,14313,22911,27028,34222,15564,24063,1316,5537,15799,35481,17395,27584,2477,13145,301,2153
"Ruminococcaceae",31041,202,452,9059,3088,11248,437,5820,8717,8842,6313,3323,7578,9062,39623,6007,13547,4175,5625,14444,14014,7641,5363,28820,5514,19285,8852,5164,20609,28328,3870,2424,18808,42760,18522
"Sphingomonadaceae",351,638,781,201,72,475,6,107,535,106,80,68,58,1184,1362,177,32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67
"Staphylococcaceae",1,6,6,0,0,13,0,0,7,7,0,1,0,6,0,0,2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2
"Streptococcaceae",551,304,264,88,372,141,61,25,50,25,47,181,76,1770,84,48,407,15,45,72,86,40,84,185,72,20,62,957,88,35,37,11,71,66,82
"Sutterellaceae",2,150,157,199,891,1444,4,173,42,130,0,9,78,12,1294,39,467,0,51,42,7536,564,0,154,10110,11,33,774,318,86,473,462,86,1,78
"unclassified",130,211,136,772,388,37,47,815,893,1534,1701,216,3338,395,223,942,8850,5975,906,1911,622,249,3649,815,5874,4820,1011,1975,979,364,1880,311,1574,397,1484
"Veillonellaceae",11979,735,888,26726,2431,36317,3473,14482,531,2094,183,616,1782,7121,142,57,2181,20,4733,35,1309,17623,79,10707,2067,8,15784,21,1323,4187,4811,27,22852,6424,6730
"Verrucomicrobiaceae",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938
"NA",247,1326,355,373,148,987,71,224,561,603,498,192,1551,707,2159,7841,3114,912,654,1161,559,1762,1837,1306,1125,784,412,671,555,457,473,233,602,159,578
