""	"healthy"	"hepatopathy"
"Acidaminococcaceae"	40210	89594
"Actinomycetaceae"	445	929
"Bacteroidaceae"	366698	578125
"Bifidobacteriaceae"	26118	54767
"Bradyrhizobiaceae"	45	71
"Carnobacteriaceae"	374	1262
"Caulobacteraceae"	520	684
"Christensenellaceae"	3516	3839
"Clostridiaceae"	11948	11852
"Comamonadaceae"	528	557
"Coriobacteriaceae"	2279	8888
"Dehalobacteriaceae"	224	211
"Desulfovibrionaceae"	1299	340
"Enterobacteriaceae"	3921	26096
"Erysipelotrichaceae"	26935	34244
"Eubacteriaceae"	16081	18061
"Fusobacteriaceae"	115	2500
"Gemellaceae"	38	153
"Lachnospiraceae"	121592	147445
"Lactobacillaceae"	3617	7868
"Micrococcaceae"	73	236
"Mogibacteriaceae"	315	531
"Moraxellaceae"	93	95
"Oscillospiraceae"	64269	99113
"Oxalobacteraceae"	536	598
"Pasteurellaceae"	1234	28224
"Peptostreptococcaceae"	76684	58972
"Porphyromonadaceae"	146218	143281
"Prevotellaceae"	18173	360138
"Pseudomonadaceae"	257	257
"Rikenellaceae"	307886	385334
"Ruminococcaceae"	256685	321843
"Sphingomonadaceae"	8595	10646
"Staphylococcaceae"	90	106
"Streptococcaceae"	2435	35069
"Sutterellaceae"	21246	17214
"unclassified"	42570	64911
"Veillonellaceae"	100921	487224
"Verrucomicrobiaceae"	32072	148703
"NA"	15763	32778
